"","celltype"
"x2_75_0_4_bc0225","eL2/3"
"x2_98_1_1_bc0249","eL2/3"
"x2_58_0_1_bc0049","eL2/3"
"x2_75_0_3_bc0079","eL2/3"
"x2_75_0_1_bc0090","eL2/3"
"x2_52_3_2_bc1157","eL2/3"
"x2_41_1_1_bc0055","eL2/3"
"x2_75_0_3_bc0915","eL2/3"
"x2_94_4_1_1_bc0031","eL2/3"
"x2_94_1_2_bc0128","eL2/3"
"x2_94_4_2_1_bc0478","eL2/3"
"x2_75_0_1_bc0288","eL2/3"
"x2_94_1_1_2_bc0893","eL2/3"
"x2_52_3_2_bc0447","eL2/3"
"x2_98_4_2_1_bc0140","eL2/3"
"x2_35_3_bc0633","eL2/3"
"x2_94_4_1_1_bc0161","eL2/3"
"x2_75_0_4_bc0181","eL2/3"
"x2_52_1_1_bc0437","eL2/3"
"x2_35_0_bc1153","eL2/3"
"x2_98_4_1_2_bc0042","eL2/3"
"x2_52_3_2_bc1027","eL2/3"
"x2_94_4_2_1_bc0139","eL2/3"
"x2_41_1_1_bc0182","eL2/3"
"x2_52_0_2_bc0079","eL2/3"
"x2_52_3_1_bc0704","eL2/3"
"x2_94_4_2_1_bc0047","eL2/3"
"x2_52_3_2_bc0920","eL2/3"
"x2_75_0_4_bc0748","eL2/3"
"x2_75_0_4_bc0096","eL2/3"
"x2_75_0_1_bc0270","eL2/3"
"x2_75_0_3_bc0089","eL2/3"
"x2_35_1_bc0690","eL2/3"
"x2_52_0_1_bc0906","eL2/3"
"x2_35_1_bc0197","eL2/3"
"x2_94_4_1_2_bc0872","eL2/3"
"x2_98_4_1_1_bc0534","eL2/3"
"x2_98_4_1_1_bc0078","eL2/3"
"x2_35_0_bc0275","eL2/3"
"x2_52_3_1_bc0358","eL2/3"
"x2_35_3_bc0111","eL2/3"
"x2_41_1_1_bc0184","eL2/3"
"x2_75_0_3_bc0267","eL2/3"
"x2_98_4_1_2_bc0486","eL2/3"
"x2_94_1_1_1_bc0297","eL2/3"
"x2_52_3_2_bc0157","eL2/3"
"x2_98_4_1_1_bc0019","eL2/3"
"x2_35_0_bc0949","eL2/3"
"x2_94_4_1_2_bc0158","eL2/3"
"x2_94_4_2_1_bc0004","eL2/3"
"x2_35_0_bc0665","eL2/3"
"x2_35_1_bc0291","eL2/3"
"x2_52_1_1_bc0312","eL2/3"
"x2_35_0_bc0298","eL2/3"
"x2_75_0_3_bc0533","eL2/3"
"x2_94_4_2_1_bc0059","eL2/3"
"x2_94_4_2_1_bc0249","eL2/3"
"x2_35_0_bc1108","eL2/3"
"x2_75_0_1_bc0533","eL2/3"
"x2_52_3_2_bc0699","eL2/3"
"x2_75_0_2_bc0375","eL2/3"
"x2_75_0_1_bc0054","eL2/3"
"x2_98_4_1_2_bc0723","eL2/3"
"x2_52_0_2_bc0096","eL2/3"
"x2_75_0_3_bc1210","eL2/3"
"x2_94_4_1_2_bc0095","eL2/3"
"x2_52_0_1_bc0197","eL2/3"
"x2_75_0_3_bc0096","eL2/3"
"x2_35_0_bc0862","eL2/3"
"x2_35_0_bc0886","eL2/3"
"x2_35_0_bc0640","eL2/3"
"x2_35_0_bc0997","eL2/3"
"x2_52_0_1_bc0038","eL2/3"
"x2_75_0_1_bc0243","eL2/3"
"x2_35_0_bc0542","eL2/3"
"x2_98_4_1_2_bc0051","eL2/3"
"x2_94_4_2_2_bc0021","eL2/3"
"x2_75_0_2_bc0026","eL2/3"
"x2_75_0_1_bc0018","eL2/3"
"x2_52_3_2_bc0485","eL2/3"
"x2_94_1_1_2_bc0261","eL2/3"
"x2_35_0_bc0256","eL2/3"
"x2_94_1_1_1_bc0434","eL2/3"
"x2_94_4_2_1_bc0145","eL2/3"
"x2_94_1_2_bc0080","eL2/3"
"x2_75_0_4_bc0839","eL2/3"
"x2_75_0_3_bc0331","eL2/3"
"x2_94_4_1_2_bc0139","eL2/3"
"x2_35_3_bc1020","eL2/3"
"x2_94_1_1_1_bc0219","eL2/3"
"x2_75_0_3_bc0865","eL2/3"
"x2_41_1_1_bc0448","eL2/3"
"x2_94_4_2_2_bc0333","eL2/3"
"x2_75_0_3_bc0711","eL2/3"
"x2_58_0_1_bc4482","eL2/3"
"x2_98_4_1_1_bc0240","eL2/3"
"x2_75_0_1_bc0274","eL2/3"
"x2_52_1_2_bc0618","eL2/3"
"x2_52_3_2_bc0404","eL2/3"
"x2_58_0_2_bc0191","eL2/3"
"x2_94_4_1_1_bc0115","eL2/3"
"x2_35_1_bc0050","eL2/3"
"x2_52_1_2_bc0810","eL2/3"
"x2_41_1_1_bc0823","eL2/3"
"x2_58_0_1_bc0192","eL2/3"
"x2_75_0_3_bc0782","eL2/3"
"x2_75_0_1_bc1009","eL2/3"
"x2_75_0_3_bc0397","eL2/3"
"x2_75_0_2_bc0104","eL2/3"
"x2_98_4_2_1_bc0114","eL2/3"
"x2_52_3_2_bc0922","eL2/3"
"x2_75_0_3_bc0537","eL2/3"
"x2_52_3_2_bc0298","eL2/3"
"x2_52_0_1_bc0562","eL2/3"
"x2_35_1_bc0514","eL2/3"
"x2_52_0_1_bc0565","eL2/3"
