"","celltype"
"F2S4_160113_010_H01","eL4"
"F2S4_160113_011_A01","eL4"
"F2S4_160113_011_B01","eL4"
"F2S4_160113_011_C01","eL4"
"F2S4_160113_011_D01","eL4"
"F2S4_160113_011_E01","eL4"
"F2S4_160113_011_F01","eL4"
"F2S4_160113_011_G01","eL4"
"F2S4_160113_011_H01","eL4"
"F2S4_160113_012_A01","eL5"
"F2S4_160113_012_B01","eL5"
"F2S4_160113_012_C01","eL5"
"F2S4_160113_012_G01","eL5"
"F2S4_160113_012_H01","eL5"
"F2S4_160113_013_C01","eL5"
"F2S4_160113_013_G01","eL5"
"F2S4_160113_014_B01","eL5"
"F2S4_160113_014_D01","eL5"
"F2S4_160113_014_E01","eL6"
"F2S4_160113_014_F01","eL6"
"F2S4_160113_014_G01","eL5"
"F2S4_160113_015_A01","eL5"
"F2S4_160113_015_B01","eL5"
"F2S4_160113_015_C01","eL5"
"F2S4_160113_015_D01","eL5"
"F2S4_160113_015_E01","eL6"
"F2S4_160113_015_F01","eL5"
"F2S4_160113_015_G01","eL5"
"F2S4_160113_016_A01","eL5"
"F2S4_160113_016_B01","eL5"
"F2S4_160113_016_C01","eL5"
"F2S4_160113_016_E01","eL5"
"F2S4_160113_016_F01","eL5"
"F2S4_160113_016_H01","eL5"
"F2S4_160113_017_C01","eL5"
"F2S4_160113_017_D01","eL5"
"F2S4_160113_017_G01","eL5"
"F2S4_160113_018_A01","eL6"
"F2S4_160113_018_B01","eL6"
"F2S4_160113_018_C01","eL6"
"F2S4_160113_018_D01","eL6"
"F2S4_160113_018_E01","eL6"
"F2S4_160113_018_F01","eL6"
"F2S4_160113_018_G01","eL6"
"F2S4_160113_018_H01","eL6"
"F2S4_160113_019_A01","eL6"
"F2S4_160113_019_B01","eL6"
"F2S4_160113_019_C01","eL6"
"F2S4_160113_019_D01","eL6"
"F2S4_160113_019_E01","eL6"
"F2S4_160113_019_F01","eL6"
"F2S4_160113_019_G01","eL6"
"F2S4_160113_020_A01","eL6"
"F2S4_160113_020_B01","eL6"
"F2S4_160113_020_C01","eL6"
"F2S4_160113_020_D01","eL6"
"F2S4_160113_020_E01","eL6"
"F2S4_160113_020_F01","eL6"
"F2S4_160113_020_G01","eL6"
"F2S4_160113_020_H01","eL6"
"F2S4_160113_021_A01","eL6"
"F2S4_160113_021_B01","eL6"
"F2S4_160113_021_D01","eL6"
"F2S4_160113_021_E01","eL6"
"F2S4_160113_021_F01","eL6"
"F2S4_160113_021_G01","eL6"
"F2S4_160113_021_H01","eL6"
"F2S4_160113_022_A01","eL6"
"F2S4_160113_022_B01","eL6"
"F2S4_160113_022_C01","eL6"
"F2S4_160113_022_D01","eL6"
"F2S4_160113_022_E01","eL6"
"F2S4_160113_022_F01","eL6"
"F2S4_160113_022_H01","eL6"
"F2S4_160113_023_A01","eL6"
"F2S4_160113_023_B01","eL6"
"F2S4_160113_023_C01","eL6"
"F2S4_160113_023_D01","eL6"
"F2S4_160113_023_E01","eL6"
"F2S4_160113_023_F01","eL6"
"F2S4_160113_023_G01","eL6"
"F2S4_160113_024_A01","eL6"
"F2S4_160113_024_B01","eL6"
"F2S4_160113_024_C01","eL6"
"F2S4_160113_024_D01","eL6"
"F2S4_160113_024_F01","eL6"
"F2S4_160113_024_G01","eL6"
"F2S4_160113_024_H01","eL6"
"F2S4_160113_025_A01","eL6"
"F2S4_160113_025_B01","eL6"
"F2S4_160113_025_C01","eL6"
"F2S4_160113_025_D01","eL6"
"F2S4_160113_025_E01","eL6"
"F2S4_160113_025_F01","eL6"
"F2S4_160113_025_G01","eL6"
"F2S4_160113_025_H01","eL6"
"F2S4_160113_026_A01","eL6"
"F2S4_160113_026_C01","eL6"
"F2S4_160113_026_D01","eL6"
"F2S4_160113_026_E01","eL6"
"F2S4_160113_026_F01","eL6"
"F2S4_160113_026_G01","eL6"
"F2S4_160113_026_H01","eL6"
"F2S4_160119_001_F01","eL2/3"
"F2S4_160120_001_A01","eL2/3"
"F2S4_160120_001_B01","eL2/3"
"F2S4_160120_001_C01","eL2/3"
"F2S4_160120_001_D01","eL2/3"
"F2S4_160120_001_E01","eL2/3"
"F2S4_160120_001_F01","eL2/3"
"F2S4_160120_001_G01","eL2/3"
"F2S4_160120_001_H01","eL2/3"
"F2S4_160120_002_A01","eL2/3"
"F2S4_160120_002_B01","eL2/3"
"F2S4_160120_002_C01","eL2/3"
"F2S4_160120_002_D01","eL2/3"
"F2S4_160120_002_E01","eL2/3"
"F2S4_160120_002_F01","eL2/3"
"F2S4_160120_002_G01","eL2/3"
"F2S4_160120_002_H01","eL2/3"
"F2S4_160120_003_A01","eL2/3"
"F2S4_160120_003_B01","eL2/3"
"F2S4_160120_003_C01","eL2/3"
"F2S4_160120_003_D01","eL2/3"
"F2S4_160120_003_E01","eL2/3"
"F2S4_160120_003_F01","eL2/3"
"F2S4_160120_003_G01","eL2/3"
"F2S4_160120_003_H01","eL2/3"
"F2S4_160120_004_A01","eL2/3"
"F2S4_160120_004_B01","eL2/3"
"F2S4_160120_004_C01","eL2/3"
"F2S4_160120_004_D01","eL2/3"
"F2S4_160120_004_E01","eL2/3"
"F2S4_160120_004_F01","eL2/3"
"F2S4_160120_004_G01","eL2/3"
"F2S4_160120_004_H01","eL2/3"
"F2S4_160120_005_A01","eL2/3"
"F2S4_160120_005_B01","eL2/3"
"F2S4_160120_005_C01","eL2/3"
"F2S4_160120_005_D01","eL2/3"
"F2S4_160120_005_E01","eL2/3"
"F2S4_160120_005_F01","eL2/3"
"F2S4_160120_005_G01","eL2/3"
"F2S4_160120_005_H01","eL2/3"
"F2S4_160120_006_B01","eL4"
"F2S4_160120_006_C01","eL4"
"F2S4_160120_006_D01","eL4"
"F2S4_160120_006_E01","eL4"
"F2S4_160120_006_F01","eL4"
"F2S4_160120_006_G01","eL4"
"F2S4_160120_006_H01","eL4"
"F2S4_160120_007_A01","eL4"
"F2S4_160120_007_B01","eL4"
"F2S4_160120_007_C01","eL4"
"F2S4_160120_007_D01","eL4"
"F2S4_160120_007_E01","eL4"
"F2S4_160120_007_F01","eL4"
"F2S4_160120_007_G01","eL4"
"F2S4_160120_007_H01","eL5"
"F2S4_160120_008_A01","eL4"
"F2S4_160120_008_B01","eL4"
"F2S4_160120_008_C01","eL4"
"F2S4_160120_008_D01","eL4"
"F2S4_160120_008_E01","eL4"
"F2S4_160120_008_G01","eL4"
"F2S4_160120_008_H01","eL4"
"F2S4_160120_009_A01","eL4"
"F2S4_160120_009_B01","eL4"
"F2S4_160120_009_C01","eL4"
"F2S4_160120_009_D01","eL4"
"F2S4_160120_009_E01","eL4"
"F2S4_160120_009_F01","eL4"
"F2S4_160120_009_G01","eL4"
"F2S4_160120_010_A01","eL4"
"F2S4_160120_010_B01","eL4"
"F2S4_160120_010_C01","eL4"
"F2S4_160120_010_D01","eL4"
"F2S4_160120_010_E01","eL4"
"F2S4_160120_010_F01","eL4"
"F2S4_160120_010_G01","eL4"
"F2S4_160120_011_A01","eL6"
"F2S4_160120_011_B01","eL6"
"F2S4_160120_011_C01","eL5"
"F2S4_160120_011_D01","eL6"
"F2S4_160120_011_E01","eL6"
"F2S4_160120_011_F01","eL6"
"F2S4_160120_011_G01","eL6"
"F2S4_160120_011_H01","eL5"
"F2S4_160120_012_A01","eL6"
"F2S4_160120_012_B01","eL5"
"F2S4_160120_012_C01","eL6"
"F2S4_160120_012_D01","eL6"
"F2S4_160120_012_E01","eL5"
"F2S4_160120_012_F01","eL6"
"F2S4_160120_012_G01","eL6"
"F2S4_160120_012_H01","eL5"
"F2S4_160120_013_A01","eL6"
"F2S4_160120_013_B01","eL5"
"F2S4_160120_013_C01","eL6"
"F2S4_160120_013_D01","eL5"
"F2S4_160120_013_E01","eL6"
"F2S4_160120_013_F01","eL6"
"F2S4_160120_013_G01","eL6"
"F2S4_160120_013_H01","eL6"
"F2S4_160120_014_A01","eL5"
"F2S4_160120_014_B01","eL6"
"F2S4_160120_014_C01","eL6"
"F2S4_160120_014_D01","eL6"
"F2S4_160120_014_E01","eL6"
"F2S4_160120_014_F01","eL6"
"F2S4_160120_014_G01","eL6"
"F2S4_160120_014_H01","eL6"
"F2S4_160120_015_A01","eL6"
"F2S4_160120_015_B01","eL6"
"F2S4_160120_015_C01","eL6"
"F2S4_160120_015_D01","eL6"
"F2S4_160120_015_E01","eL6"
"F2S4_160120_015_F01","eL6"
"F2S4_160120_015_G01","eL6"
"F2S4_160120_015_H01","eL6"
"F2S4_160120_016_A01","eL6"
"F2S4_160120_016_B01","eL6"
"F2S4_160120_016_C01","eL6"
"F2S4_160120_016_D01","eL6"
"F2S4_160120_016_E01","eL6"
"F2S4_160120_016_F01","eL6"
"F2S4_160120_016_G01","eL6"
"F2S4_160120_016_H01","eL6"
"F2S4_160120_017_A01","eL6"
"F2S4_160120_017_B01","eL6"
"F2S4_160120_017_C01","eL6"
"F2S4_160120_017_D01","eL6"
"F2S4_160120_017_E01","eL6"
"F2S4_160120_017_F01","eL6"
"F2S4_160120_017_G01","eL6"
"F2S4_160120_018_A01","eL6"
"F2S4_160120_018_B01","eL6"
"F2S4_160120_018_C01","eL6"
"F2S4_160120_018_D01","eL6"
"F2S4_160120_018_E01","eL6"
"F2S4_160120_018_F01","eL6"
"F2S4_160120_018_G01","eL6"
"F2S4_160120_018_H01","eL6"
"F2S4_160120_019_A01","eL6"
"F2S4_160120_019_B01","eL6"
"F2S4_160120_019_C01","eL6"
"F2S4_160120_019_D01","eL6"
"F2S4_160120_019_E01","eL6"
"F2S4_160120_019_F01","eL6"
"F2S4_160120_019_G01","eL6"
"F2S4_160120_019_H01","eL6"
"F2S4_160120_020_A01","eL6"
"F2S4_160120_020_B01","eL6"
"F2S4_160120_020_C01","eL6"
"F2S4_160120_020_D01","eL6"
"F2S4_160120_020_E01","eL6"
"F2S4_160120_020_F01","eL6"
"F2S4_160120_020_G01","eL6"
"F2S4_160120_020_H01","eL6"
"F2S4_160120_021_A01","eL6"
"F2S4_160120_021_B01","eL6"
"F2S4_160120_021_C01","eL6"
"F2S4_160120_021_D01","eL6"
"F2S4_160120_021_E01","eL6"
"F2S4_160120_021_F01","eL6"
"F2S4_160120_021_G01","eL6"
"F2S4_160120_021_H01","eL6"
