,B-cells,CAFs,Cancer Epithelial,Endothelial,Myeloid,Normal Epithelial,PVL,Plasmablasts,T-cells
18x12,0,0,0,0,0,0,0.295004351,0.704995649,0
18x13,0,0,0.339262044,0,0,0,0.289866667,0.370871289,0
18x14,0,0,0,0,0,0.244390928,0,0.755609072,0
18x15,0,0,0.046396278,0,0.090164338,0,0,0.863439384,0
18x16,0,0,0.074120794,0,0,0,0,0.667665581,0.258213626
18x17,0,0,0.128185053,0.087945305,0,0,0,0.783869642,0
18x19,0.228688832,0,0,0,0.265351745,0,0,0.240134016,0.265825407
18x20,0,0.140122132,0,0.268232869,0.591644998,0,0,0,0
18x21,0,0.007962116,0,0.317901617,0.626419589,0,0,0.047716678,0
18x22,0,0,0,0.218630018,0,0,0,0.781369982,0
18x23,0.189106685,0,0.042307904,0,0.237944496,0,0,0.530640914,0
18x24,0.282853095,0.161668066,0.009810844,0.160571876,0.323115694,0,0,0.061980425,0
18x25,0.23492599,0.03464665,0,0,0.366624658,0,0,0.278834098,0.084968603
18x26,0.344388602,0.019482958,0,0,0.63612844,0,0,0,0
18x27,0.165849614,0.009882594,0,0.120190711,0.704077081,0,0,0,0
18x28,0,0.118031662,0,0.270685562,0.611282776,0,0,0,0
18x29,0,0,0,0.450730019,0.549269981,0,0,0,0
18x30,0,0.307392241,0.345128579,0,0.34747918,0,0,0,0
18x31,0,0,0,0.350301118,0.649698882,0,0,0,0
18x32,0,0.530689247,0,0.287823127,0.141016342,0,0,0,0.040471283
18x33,0,0,0,0.257003568,0.10792238,0.635074052,0,0,0
18x9,0,0,0.057456776,0.163026878,0,0,0.124101349,0.655414996,0
19x10,0,0,0,0.181774427,0,0,0,0.547493159,0.270732413
19x11,0,0.114348695,0,0.161989983,0,0.347218803,0,0.376442519,0
19x12,0,0,0.091719537,0.104039526,0,0,0,0.804240937,0
19x13,0,0,0.081719286,0.232321666,0,0,0,0.685959048,0
19x14,0,0,0,0,0,0,0,1,0
19x15,0,0,0,0.154016607,0,0,0,0.845983393,0
19x16,0,0,0.0106973,0,0,0,0,0.9893027,0
19x17,0,0,0,0,0.167879952,0,0.169484661,0.662635387,0
19x18,0.335787233,0,0,0,0,0,0,0.664212767,0
19x19,0.373045129,0.137707799,0,0.085607524,0.403639548,0,0,0,0
19x20,0,0.395744773,0,0,0.604255227,0,0,0,0
19x21,0,0,0,0.465475773,0,0.310511165,0,0.224013062,0
19x22,0,0,0.030420743,0,0.148848539,0,0,0.663362114,0.157368603
19x23,0,0,0.158385104,0.130026645,0.118080561,0,0.249160591,0.344347099,0
19x24,0.378933322,0,0,0,0,0.621066678,0,0,0
19x25,0.378587392,0,0,0,0,0,0,0.621412608,0
19x26,0,0.078555884,0,0,0,0,0,0.561965854,0.359478262
19x27,0,0.098602984,0,0,0.579805407,0,0,0.321591609,0
19x28,0,0,0,0.282850846,0.329441783,0,0,0.168828604,0.218878767
19x29,0,0.378911364,0,0.407198089,0,0,0,0.213890547,0
19x30,0,0.89198057,0,0,0,0,0,0.10801943,0
19x31,0,0.128538983,0,0.587560171,0,0.078294127,0,0.205606718,0
19x32,0.030127747,0.169773095,0,0.352568698,0,0.44753046,0,0,0
19x9,0.150419303,0,0,0,0,0.146473759,0,0.703106938,0
20x10,0,0.092041374,0,0.144482405,0,0,0,0.544794675,0.218681547
20x11,0,0.164984761,0,0.20212633,0,0.174084048,0,0.458804861,0
20x12,0,0,0.013023725,0,0,0,0,0.986976275,0
20x13,0,0,0,0,0,0,0,1,0
20x14,0,0,0,0,0,0,0.135970119,0.864029881,0
20x15,0,0.267244285,0,0,0,0.732755715,0,0,0
20x16,0,0,0,0.122147825,0,0,0,0.877852175,0
20x17,0,0,0,0.045320865,0,0,0,0.954679135,0
20x18,0,0,0,0,0.240648514,0,0,0.759351486,0
20x19,0.209939853,0.126076287,0,0.163022044,0.500961816,0,0,0,0
20x20,0.235843678,0.334627744,0.089034417,0,0,0.146443638,0,0,0.194050523
20x21,0,0.456278894,0,0,0.217635853,0.326085253,0,0,0
20x22,0,0,0.352521416,0,0,0,0.376036044,0,0.27144254
20x23,0.203035855,0.105766182,0,0.367955196,0,0.25752019,0,0.065722576,0
20x24,0,0,0,0.285689477,0,0.313308149,0,0.401002374,0
20x25,0,0.155010316,0,0.237221023,0,0,0.123602003,0.484166657,0
20x26,0,0,0,0.287105987,0,0,0.138168748,0.574725265,0
20x27,0,0,0,0.49599667,0,0,0,0.44900639,0.05499694
20x28,0,0.506661189,0,0,0,0.061152839,0,0.24532035,0.186865622
20x29,0,0.593626014,0,0.406373986,0,0,0,0,0
20x30,0,0.440454709,0,0.351730646,0.070429283,0.137385362,0,0,0
20x31,0,0.362079563,0.046025391,0.486626842,0,0,0.105268204,0,0
20x32,0,0.260922163,0,0.671400954,0,0,0,0,0.067676883
20x9,0,0,0.25847401,0.401433296,0,0,0.340092694,0,0
21x10,0,0,0,0.135073762,0,0,0.416686278,0.448239961,0
21x11,0,0,0,0,0,0,0.678373117,0,0.321626883
21x12,0.159161993,0,0.012134561,0.10417703,0,0,0,0.550747688,0.173778728
21x13,0.163652832,0,0.009597627,0.111896434,0,0,0,0.714853108,0
21x14,0,0.176416229,0,0,0,0,0.196746507,0.626837265,0
21x15,0,0,0,0.012163646,0,0.238853198,0,0.748983156,0
21x16,0,2.47312E-10,0,0,0,0,0,1,0
21x17,0,0,0,0,0,0,0.137469144,0.862530856,0
21x18,0,0.087765501,0,0.169022009,0,0,0,0.74321249,0
21x19,0,0.020692914,0,0.346224244,0.633082842,0,0,0,0
21x20,0,0,0.013367641,0.573229399,0,0,0,0.262204033,0.151198928
21x21,0,0,0.011363001,0.196137964,0.129885943,0,0,0.492659678,0.169953414
21x22,0,0.097778721,0.134966695,0,0,0,0.222296105,0.544958479,0
21x23,0,0,0,0.606902594,0,0.385607965,0,0.007489441,0
