"","B.cell","CAF","Endo.","Macrophage","Mal","NK","T.cell"
"26x17",0.067422366,0.636607878,0.190405134,0,0,0.105564623,0
"26x18",0.062195919,0.703475074,0,0,0,0.234329007,0
"26x19",0,0.612136296,0.164016278,0,0,0.223847426,0
"26x20",0,0.622243652,0.377756348,0,0,0,0
"26x21",0.948886971,0,0.051113029,0,0,0,0
"26x22",0.997128443,0.002871557,0,0,0,0,0
"26x23",0.769309974,0,0,0,0.097366983,0,0.133323042
"27x14",0,0.051844929,0.386766621,0.128937402,0.179004683,0.253446365,0
"27x15",0,0.522592445,0,0,0,0.477407555,0
"27x17",0,0.511705735,0.265427422,0.135693872,0,0,0.08717297
"27x18",0.16531551,0.568035658,0,0.183793339,0,0,0.082855493
"27x19",0.274960554,0.443775733,0,0.243259941,0.038003772,0,0
"27x20",0.460841147,0.326526902,0.123095179,0,0,0.089536772,0
"27x21",0.810867121,0.083754268,0.105378612,0,0,0,0
"27x22",1,0,0,0,0,0,0
