"","new_celltype"
"cy79_p5_CD45_neg_PDL1_pos_F09_S741_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_E10_S442_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_H01_S373_comb","Mal"
"CY89CORE11_B04_S112_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F03_S159_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_H10_S286_comb","Mal"
"CY89CORE11_A05_S101_comb","Mal"
"CY89CORE11_B06_S114_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E08_S56_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_C07_S223_comb","Mal"
"CY89NEG_A06_S6_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_B04_S1072_comb","Mal"
"Cy81_FNA_CD45_F02_S350_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_H01_S1141_comb","Mal"
"CY89CORE11_D09_S141_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_H11_S479_comb","Mal"
"cy81_FNA_CD45_neg_H09_S1053_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A07_S7_comb","Mal"
"CY89FNAQ2_B02_S398_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_D09_S237_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B11_S119_comb","Mal"
"CY89FNAQ2_C04_S412_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_E10_S730_comb","Mal"
"Cy80_II_CD45_B09_S885_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_G02_S746_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_G02_S170_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_E05_S245_comb","Mal"
"Cy81_FNA_CD45_H12_S384_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_G04_S844_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_B11_S407_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_B11_S215_comb","Mal"
"cy81_FNA_CD45_neg_F02_S1022_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_D05_S425_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_D01_S421_comb","Mal"
"CY89NEG_H06_S90_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_H03_S375_comb","Mal"
"Cy81_Bulk_CD45_E08_S152_comb","Mal"
"CY89FNAQ2_H03_S471_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_H09_S1149_comb","Mal"
"cy81_FNA_CD45_neg_B04_S976_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F11_S167_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_F03_S1119_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_C04_S412_comb","Mal"
"Cy80_II_CD45_G09_S945_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_G05_S749_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_F06_S450_comb","Mal"
"cy82_CD45_pos_3_C11_S35_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_C04_S316_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F06_S162_comb","Mal"
"Cy80_II_CD45_D09_S909_comb","Mal"
"cy81_FNA_CD45_neg_E12_S1020_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_A12_S1068_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_B11_S1079_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_A05_S773_comb","Mal"
"cy80_CD45_neg_D03_S903_comb","Mal"
"cy81_Bulk_CD45_neg_E09_S153_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_B06_S210_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_F05_S833_comb","Mal"
"cy80_CD45_neg_B01_S877_comb","Mal"
"cy82_CD45_pos_1_E08_S536_comb","T.cell"
"Cy81_Bulk_CD45_B09_S117_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_H06_S858_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_A03_S1059_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_A12_S108_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_H10_S862_comb","Mal"
"cy80_CD45_neg_C09_S897_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_B04_S304_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_E03_S723_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F04_S160_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_C12_S420_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C08_S128_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_E08_S728_comb","Mal"
"cy80_CD45_neg_D07_S907_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F03_S63_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_H07_S859_comb","Mal"
"cy79_p5_CD45_pos_PD1_pos_E02_S626_comb","Mal"
"cy80_CD45_neg_A03_S867_comb","Mal"
"Cy81_FNA_CD45_B10_S310_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H07_S187_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B07_S115_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_G09_S849_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_C09_S801_comb","Mal"
"cy80_CD45_neg_H09_S957_comb","Mal"
"cy80_CD45_neg_H02_S950_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_G04_S172_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_G03_S843_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_D12_S432_comb","Mal"
"cy81_Bulk_CD45_neg_C08_S128_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G07_S79_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_A08_S392_comb","Mal"
"Cy81_Bulk_CD45_C06_S126_comb","Mal"
"cy82_CD45_pos_2_E07_S535_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_G12_S180_comb","Mal"
"Cy81_FNA_CD45_H10_S382_comb","Mal"
"Cy80_II_CD45_B02_S878_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_B10_S310_comb","Mal"
"cy80_CD45_neg_E01_S913_comb","Mal"
"Cy81_FNA_CD45_B11_S311_comb","Mal"
"cy81_Bulk_CD45_neg_C04_S124_comb","Mal"
"Cy81_Bulk_CD45_B12_S120_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G03_S75_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_F11_S455_comb","Mal"
"cy82_CD45_pos_1_H05_S569_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G09_S81_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B04_S112_comb","Mal"
"cy80_CD45_neg_H03_S951_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_F07_S259_comb","Endo."
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C10_S34_comb","Mal"
"cy81_Bulk_CD45_neg_B03_S111_comb","Mal"
"cy81_Bulk_CD45_neg_E08_S152_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_D06_S1098_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_B09_S1077_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_B10_S406_comb","Mal"
"Cy80_II_CD45_F12_S936_comb","Mal"
"cy80_CD45_neg_D10_S910_comb","Mal"
"Cy81_Bulk_CD45_B01_S109_comb","Mal"
"Cy80_II_CD45_B06_S882_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_F02_S734_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_G07_S847_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E11_S59_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C07_S127_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_H03_S1143_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_H10_S1150_comb","Mal"
"CY89CORE11_F03_S159_comb","Endo."
"CY89FNAQ2_B10_S406_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_D02_S422_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_D10_S46_comb","Mal"
"Cy80_II_CD45_F07_S931_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_A11_S395_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G06_S78_comb","Mal"
"CY89NEG_A03_S3_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_G07_S1135_comb","Mal"
"cy82_CD45_pos_2_F11_S551_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_C10_S418_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_E02_S434_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_H02_S374_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_F09_S453_comb","Mal"
"CY89FNAQ2_C01_S409_comb","Mal"
"Cy80_II_CD45_B12_S888_comb","Mal"
"cy80_CD45_neg_D09_S909_comb","Mal"
"CY89CORE11_G08_S176_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_C11_S1091_comb","Mal"
"Cy80_II_CD45_A09_S873_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_B04_S688_comb","Mal"
"cy81_Bulk_CD45_neg_F05_S161_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_E06_S726_comb","Mal"
"cy81_FNA_CD45_neg_G03_S1035_comb","Mal"
"cy82_CD45_neg_1_D05_S233_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_F11_S839_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_F02_S830_comb","Mal"
"cy81_FNA_CD45_neg_G09_S1041_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B09_S117_comb","Mal"
"CY89NEG_A02_S2_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_G03_S459_comb","Mal"
"Cy80_II_CD45_F11_S935_comb","Mal"
"CY89NEG_E02_S50_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_A11_S203_comb","Mal"
"CY89CORE11_F07_S163_comb","Mal"
"CY89CORE11_A09_S105_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H09_S189_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_A12_S780_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_A08_S1064_comb","Mal"
"cy80_CD45_neg_D11_S911_comb","Mal"
"Cy81_Bulk_CD45_E03_S147_comb","Mal"
"CY89NEG_D12_S48_comb","Mal"
"cy82_CD45_neg_2_H12_S288_comb","CAF"
"CY89A_CD45_POS_10_A07_S199_comb","T.cell"
"cy79_p4_CD45_neg_PDL1_neg_E01_S1105_comb","Mal"
"cy82_CD45_neg_3_D09_S813_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_B03_S1071_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_A11_S779_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_B06_S306_comb","Mal"
"CY89CORE11_C08_S128_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_D04_S1096_comb","Mal"
"cy80_CD45_neg_E06_S918_comb","Mal"
"Cy80_II_CD45_D04_S904_comb","Mal"
"CY89CORE11_D11_S143_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_H03_S759_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_C05_S317_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_A07_S775_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_C05_S413_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_D08_S428_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_D07_S331_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_H11_S767_comb","Mal"
"cy80_CD45_neg_B04_S880_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_A10_S106_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_B10_S1078_comb","Mal"
"Cy81_Bulk_CD45_A11_S107_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_B03_S207_comb","Mal"
"CY89CORE11_H06_S186_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G08_S80_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E04_S52_comb","Mal"
"CY89FNAQ2_F12_S456_comb","Mal"
