"","imagecol","imagerow","x","y"
"x3534y14550",3534,14550,8,30
"x34y15050",34,15050,1,31
"x534y15050",534,15050,2,31
"x1034y15050",1034,15050,3,31
"x2034y15050",2034,15050,5,31
"x2534y15050",2534,15050,6,31
"x3034y15050",3034,15050,7,31
"x3534y15050",3534,15050,8,31
"x34y15550",34,15550,1,32
"x534y15550",534,15550,2,32
"x1034y15550",1034,15550,3,32
"x1534y15550",1534,15550,4,32
"x2534y15550",2534,15550,6,32
"x3534y15550",3534,15550,8,32
"x1034y16050",1034,16050,3,33
"x1534y16050",1534,16050,4,33
"x2034y16050",2034,16050,5,33
"x2534y16050",2534,16050,6,33
"x3034y16050",3034,16050,7,33
"x2034y16550",2034,16550,5,34
"x2534y16550",2534,16550,6,34
"x3034y16550",3034,16550,7,34
"x3034y17050",3034,17050,7,35
