"","Astro","eL2/3","eL4","eL5","eL6","Endo","Micro","Oligo","PVALB","Smc","SST","VIP"
"x10534y1050",0,0,0,0,0,0,0,1,0,0,0,0
"x34y1550",0,0,0,0.5,0,0,0,0.5,0,0,0,0
"x534y1550",0.5,0,0,0,0,0,0,0.5,0,0,0,0
"x1034y1550",0.5,0,0,0,0,0,0,0.5,0,0,0,0
"x2034y1550",0,0,0,0,0,0.5,0,0.5,0,0,0,0
"x4534y1550",0.285714285714286,0,0.142857142857143,0,0,0,0.142857142857143,0.285714285714286,0,0,0.142857142857143,0
"x5034y1550",0.4,0,0,0,0,0.2,0.4,0,0,0,0,0
"x5534y1550",0.2,0,0,0.2,0,0,0,0.4,0,0,0.2,0
"x6034y1550",0,0,0,0.25,0,0,0,0.75,0,0,0,0
"x6534y1550",0.333333333333333,0,0,0,0,0,0,0.666666666666667,0,0,0,0
"x7034y1550",0,0,0,0,0,0,0,1,0,0,0,0
"x7534y1550",0.666666666666667,0,0,0,0,0,0,0.333333333333333,0,0,0,0
"x8034y1550",0.666666666666667,0,0,0,0,0.333333333333333,0,0,0,0,0,0
"x8534y1550",0,0,0,0,0,0,0,1,0,0,0,0
"x9034y1550",0.5,0,0,0,0,0,0,0.5,0,0,0,0
"x9534y1550",0.5,0,0,0,0,0,0,0.5,0,0,0,0
"x10034y1550",0.5,0,0,0,0,0,0,0.5,0,0,0,0
"x10534y1550",0,0,0,0,0,0,0,1,0,0,0,0
"x34y2050",0.5,0,0,0,0,0,0,0.5,0,0,0,0
"x534y2050",0,0,0,0,0,0,0,1,0,0,0,0
"x1034y2050",0.5,0,0,0,0,0,0,0.333333333333333,0,0,0.166666666666667,0
"x1534y2050",0,0,0,0,0,0,0,0.333333333333333,0,0,0.333333333333333,0.333333333333333
"x5034y2050",0.333333333333333,0,0,0,0,0,0,0.666666666666667,0,0,0,0
"x5534y2050",0,0,0,0,0,0,0,1,0,0,0,0
"x6034y2050",0.25,0,0,0,0,0,0,0.75,0,0,0,0
