,Oligo,eL2/3,eL4,eL5,eL6
x8034y7363,0.0,0.0,0.47952665457062016,0.52047334542938,0.0
x8534y7363,0.12125829199710608,0.0,0.33914110849271517,0.5396005995101788,0.0
x9034y7363,0.0,0.0,0.4303279492826993,0.5696720507173006,0.0
x9534y7363,0.0,0.0,0.4814007541732465,0.5185992458267534,0.0
x10534y7363,0.0,0.0,0.5159336375624533,0.4840663624375467,0.0
x34y7863,0.5204827029722902,0.0,0.0,0.47951729702770973,0.0
x534y7863,0.0,0.0,0.0,1.0,0.0
x1034y7863,1.0,0.0,0.0,0.0,0.0
x1534y7863,0.0,0.0,0.0,1.0,0.0
x2034y7863,0.22599245160534212,0.0,0.0,0.7740075483946578,0.0
x2534y7863,0.0,0.0,0.0,1.0,0.0
x3034y7863,0.17565346586608405,0.0,0.0,0.8243465341339159,0.0
x4534y7863,0.0,0.0,0.0,1.0,0.0
x5034y7863,0.0,0.0,0.0,1.0,0.0
x5534y7863,0.0,0.0,0.0,1.0,0.0
x6034y7863,0.0,0.0,0.0,1.0,0.0
x6534y7863,0.0,0.0,1.0,0.0,0.0
x7034y7863,0.0,0.19435599708588047,0.0,0.8056440029141195,0.0
x7534y7863,0.6254909204030099,0.02325467536810153,0.35125440422888854,0.0,0.0
x8034y7863,0.0,0.0,1.0,0.0,0.0
x8534y7863,0.0,0.0,0.7174850823291832,0.2825149176708169,0.0
x9034y7863,0.0,0.058767524502652296,0.7783571089617526,0.16287536413869602,2.3968991574111934e-09
x9534y7863,0.0,0.0,0.6829728300717656,0.3170271699282345,0.0
x10034y7863,0.0,0.0,1.0,0.0,0.0
x10534y7863,0.0,0.11940969799789945,0.8805903020021006,0.0,0.0
x34y8363,0.0,0.042263392823397396,0.29998949634037175,0.6577471108362308,0.0
x534y8363,0.4256899916062595,0.0,0.0,0.5743100083937406,0.0
x1034y8363,0.25396466588130645,0.0,0.0,0.7460353341186936,0.0
x2034y8363,0.0,0.0,0.0,1.0,0.0
x2534y8363,0.04458855396967256,0.0,0.11660635467126426,0.0,0.8388050913590631
x3034y8363,0.013187353746624263,0.0,0.0,0.9868126462533757,0.0
x4534y8363,0.03696448746051493,0.0,0.963035512539485,0.0,0.0
x5034y8363,0.0,0.11091072975773579,0.0,0.8890892702422643,0.0
x6034y8363,0.0,0.0,1.0,0.0,0.0
x6534y8363,0.0,0.0,1.0,0.0,0.0
x7034y8363,0.2486345600541721,0.10444914317083447,0.6018804396087533,0.0450358571662402,0.0
x7534y8363,0.0,0.0,1.0,0.0,0.0
x8034y8363,0.0,0.0,1.0,0.0,0.0
x8534y8363,0.03456802069841854,0.0,0.9654319793015814,0.0,0.0
x9034y8363,0.0,0.0,1.0,0.0,0.0
x9534y8363,0.0,0.0,1.0,0.0,0.0
x10034y8363,0.0,0.0,0.9617210874064402,0.038278912593559665,0.0
x10534y8363,0.0,0.0,1.0,0.0,0.0
x34y8863,0.0,0.0,1.0,0.0,0.0
x534y8863,0.0,0.0,1.0,0.0,0.0
x1034y8863,0.0,0.0,0.0,1.0,0.0
x2034y8863,0.27493624030103475,0.0,0.0,0.7250637596989653,0.0
x2534y8863,0.0,0.0,0.0,1.0,0.0
x3034y8863,0.0,0.0,0.0,1.0,0.0
x4534y8863,0.0,0.0,1.0,0.0,0.0
x5034y8863,0.0,0.0,1.0,0.0,0.0
x5534y8863,0.0,0.1798031059010241,0.8201968940989758,0.0,0.0
x6034y8863,0.0,0.0,1.0,0.0,0.0
x6534y8863,0.0,0.0,1.0,0.0,0.0
x7034y8863,0.0,0.20109951619137653,0.7989004838086236,0.0,0.0
x7534y8863,0.0,0.0,0.9747800905319188,0.025219909468081263,0.0
x8034y8863,0.0,0.0,1.0,0.0,0.0
x8534y8863,0.0,0.0,1.0,0.0,0.0
x9034y8863,0.11188509306583652,0.0,0.8881149069341635,0.0,0.0
x9534y8863,0.0,0.0,1.0,0.0,0.0
x10034y8863,0.0,0.0,1.0,0.0,0.0
x10534y8863,0.8712688837176076,0.0,0.0,0.0,0.12873111628239248
x34y9363,0.04766508240894448,0.0,0.9523349175910556,0.0,0.0
x534y9363,0.0,0.0,0.836821135733729,0.16317886426627096,0.0
x1034y9363,0.40542913565832533,0.0,0.19229106986987343,0.40227979343107284,1.0407283463829938e-09
x1534y9363,0.0,0.0,0.0,1.0,0.0
x2034y9363,0.0,0.0,0.3555716316948966,0.6444283683051035,0.0
x2534y9363,0.03695372232929143,0.0,0.0,0.9630462776707086,0.0
x3534y9363,0.0,0.0,0.09857737044764028,0.6914467330101816,0.2099758965421782
x4534y9363,0.0,0.2578436179807232,0.7421563820192768,0.0,0.0
x5034y9363,0.0,0.20701214179246588,0.5330773261594405,0.11813021217777915,0.14178031987031456
x5534y9363,0.0,0.0,1.0,0.0,0.0
x6034y9363,0.0,0.0,1.0,0.0,0.0
x6534y9363,0.014714285766818885,0.03240722820268084,0.9528784860305003,0.0,0.0
x7034y9363,0.0,0.0,1.0,0.0,0.0
x7534y9363,0.0,0.0,1.0,0.0,0.0
x8034y9363,0.0,0.26375687190485475,0.7362431280951451,0.0,0.0
x8534y9363,0.0,0.13569058458973673,0.8643094154102634,0.0,0.0
x9034y9363,0.15708410263933062,0.3480893183323828,0.4292693954036939,0.03248835620563946,0.03306882741895298
x9534y9363,0.0,1.0,0.0,0.0,0.0
x10034y9363,0.0412180549950741,0.9587819450049259,0.0,0.0,0.0
x10534y9363,0.0,0.0,1.0,0.0,0.0
x34y9863,0.0,0.0,1.0,0.0,0.0
x534y9863,0.0,0.0,0.968538016988669,0.0,0.03146198301133092
x1034y9863,0.0,0.0,1.0,0.0,0.0
x1534y9863,0.0,0.0,1.0,0.0,0.0
x2034y9863,0.27151835331119073,0.0,0.6484485237905676,0.08003312289824167,0.0
x2534y9863,0.022116506045781158,0.0,0.5402812850168853,0.43760220893733354,0.0
x3034y9863,0.0,0.0,0.5500087231644906,0.44999127683550944,0.0
x3534y9863,0.0,0.0,0.0,0.6823870108652672,0.31761298913473285
x4534y9863,0.0,0.42939701821317816,0.5706029817868218,0.0,0.0
x5034y9863,0.0,0.0,1.0,0.0,0.0
x5534y9863,0.05860287075901856,0.2191983749182431,0.7221987543227384,0.0,0.0
x6034y9863,0.11023935264183157,0.0,0.8897606473581685,0.0,0.0
x6534y9863,0.0,0.0,1.0,0.0,0.0
x7034y9863,0.0,0.169128334563907,0.6458517614088298,0.1850199040272632,0.0
x7534y9863,0.0,0.2672108684664446,0.7327891315335555,0.0,0.0
x8034y9863,0.11731345338002651,0.43192745065711763,0.4507590959628558,0.0,0.0
x8534y9863,0.12348885617148056,0.0,0.8765111438285195,0.0,0.0
x9034y9863,0.0,1.0,0.0,0.0,0.0
x9534y9863,0.0,0.965174477496567,0.03482552250343288,0.0,0.0
x10034y9863,0.0,1.0,0.0,0.0,0.0
x10534y9863,0.0,1.0,0.0,0.0,0.0
x34y10363,0.19817594635383062,0.0,0.8018240536461694,0.0,0.0
x534y10363,0.0,0.037495390573506746,0.9625046094264932,0.0,0.0
x1034y10363,0.0,0.0,1.0,0.0,0.0
x1534y10363,0.0,0.0,1.0,0.0,0.0
x2034y10363,0.0,0.0,1.0,0.0,0.0
x2534y10363,0.0,0.0,1.0,0.0,0.0
x3034y10363,0.016275767786992724,0.08570822287939898,0.8980160093336083,0.0,0.0
x3534y10363,0.15287055213643372,0.0,0.5277618232905363,0.31936762457303,0.0
x4534y10363,0.0,1.0,0.0,0.0,0.0
x5034y10363,0.0,0.6429545842008547,0.3570454157991453,0.0,0.0
x5534y10363,0.0,0.8545582419188226,0.0,0.14544175808117746,0.0
x6034y10363,0.0,0.6498154190602086,0.2942665436630914,0.05591803727670006,0.0
x6534y10363,0.0,0.3730636308718595,0.5632648227524417,0.0636715463756988,0.0
x7034y10363,0.0,0.567305497623498,0.4326945023765019,0.0,0.0
x7534y10363,0.8954222607669815,0.10457773923301844,0.0,0.0,0.0
x8034y10363,0.0,1.0,0.0,0.0,0.0
x8534y10363,0.0,1.0,0.0,0.0,0.0
x9034y10363,0.2931691842762754,0.7068308157237246,0.0,0.0,0.0
x9534y10363,0.0,1.0,0.0,0.0,0.0
x10034y10363,0.0,1.0,0.0,0.0,0.0
x10534y10363,0.0,0.9067540326185092,0.09324596738149081,0.0,0.0
x34y10863,0.0,0.0,1.0,0.0,0.0
x534y10863,0.0,0.09835448128602603,0.9016455187139739,0.0,0.0
x1034y10863,0.0,0.17193656634199117,0.8280634336580088,0.0,0.0
x1534y10863,0.025410365788467063,0.0,0.9745896342115329,0.0,0.0
x2034y10863,0.0235957418506804,0.0,0.9764042581493195,0.0,0.0
x2534y10863,0.0,0.0,1.0,0.0,0.0
x3034y10863,0.08149795376780286,0.0,0.9185020462321972,0.0,0.0
x3534y10863,0.0,0.2513192154692714,0.7486807845307286,0.0,0.0
x4534y10863,0.0,1.0,0.0,0.0,0.0
x5034y10863,0.0,1.0,0.0,0.0,0.0
x5534y10863,0.0,1.0,0.0,0.0,0.0
x6034y10863,0.0,1.0,0.0,0.0,0.0
x6534y10863,0.0,1.0,0.0,0.0,0.0
x7034y10863,0.0,1.0,0.0,0.0,0.0
x7534y10863,0.08018453668135611,0.9198154633186438,0.0,0.0,0.0
x8034y10863,0.0,1.0,0.0,0.0,0.0
x8534y10863,0.0,1.0,0.0,0.0,0.0
x9034y10863,0.0,1.0,0.0,0.0,0.0
x9534y10863,0.0,1.0,0.0,0.0,0.0
x10034y10863,0.0,1.0,0.0,0.0,0.0
x10534y10863,0.0,1.0,0.0,0.0,0.0
x34y11363,0.0,1.0,0.0,0.0,0.0
x534y11363,0.0,0.0,1.0,0.0,0.0
x1034y11363,0.168897265468429,0.18236220136529838,0.6487405331662726,0.0,0.0
x1534y11363,0.0,0.383999239538103,0.616000760461897,0.0,0.0
x2034y11363,0.0,0.0,1.0,0.0,0.0
x2534y11363,0.0,0.0,1.0,0.0,0.0
x3034y11363,0.0,0.0,1.0,0.0,0.0
x3534y11363,0.03297544386466091,0.0,0.9670245561353392,0.0,0.0
x4534y11363,0.0,1.0,0.0,0.0,0.0
x5034y11363,0.04500294847720681,0.9549970515227932,0.0,0.0,0.0
x5534y11363,0.0,1.0,0.0,0.0,0.0
x6034y11363,0.0,1.0,0.0,0.0,0.0
x6534y11363,0.0,0.837761703777912,0.16223829622208805,0.0,0.0
x7034y11363,0.1284476406056675,0.8715523593943326,0.0,0.0,0.0
x7534y11363,0.0,1.0,0.0,0.0,0.0
x8034y11363,0.0,1.0,0.0,0.0,0.0
x8534y11363,0.06325341768184023,0.9367465823181597,0.0,0.0,0.0
x9034y11363,0.0,1.0,0.0,0.0,0.0
x9534y11363,0.0,1.0,0.0,0.0,0.0
x10034y11363,0.0,1.0,0.0,0.0,0.0
x10534y11363,0.0,1.0,0.0,0.0,0.0
x34y11863,0.0,1.0,0.0,0.0,0.0
x534y11863,0.08660874727581185,0.9133912527241881,0.0,0.0,0.0
x1034y11863,0.2334228680869577,0.7665771319130422,0.0,0.0,0.0
x1534y11863,0.042222778361042865,0.5501965424655818,0.3740038233661293,0.033576855807246016,0.0
x2034y11863,0.19181916344000347,0.0,0.8081808365599966,0.0,0.0
