,Astro,Endo,High Intronic,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x6034y5050,0.183389872017193,0.0267975504014289,0,0.0664777577170436,0.0941477202723386,0.0439354402470542,0.129387135720866,0,0,0,0,0,0.455864523624076
x6534y5050,0,0,0,0.128677454726703,0.00554812138749908,0,0,0.170276322620437,0.0136175132102509,0,0,0,0.681880588055109
x7034y5050,0,0,0,0,0.0111712656464498,0.114386993247533,0,0,0.217804369943512,0,0,0.150788902226763,0.505848468935743
x7534y5050,0.340277972622638,0.0745008996177262,0,0,0,0,0,0.0604520873553658,0.251247056835617,0,0,0,0.273521983568653
x8034y5050,0,0,0,0.0202795271673245,0,0.556184074350733,0.129696115509862,0.0852100379505676,0,0,0,0,0.208630245021513
x8534y5050,0,0,0.117282742403508,0.448513942880391,0,0.0585992815316852,0.00857662932536826,0,0.00945370099667903,0,0,0.0747680874996519,0.282805615362717
x9034y5050,0,0.0143807064145929,0,0,0,0.0925747997308932,0.0142537591032981,0.123463514225572,0,0,0.0539387866934828,0.184089178394879,0.517299255437282
x9534y5050,0,0,0,0,0,0.104971894946169,0.0533232751890523,0.411817983178549,0,0,0,0,0.42988684668623
x10034y5050,0,0.124316642835254,0,0,0,0.116329596628299,0,0.0901924649082056,0,0,0.0832637574928937,0.318412043550046,0.267485494585303
x10534y5050,0.0177884184857009,0,0.239085254137685,0,0,0.449775711384956,0,0.0470344943402512,0.011393963932583,0,0,0.234922157718824,0
x34y5550,0,0,0.254386723617845,0,0,0,0,0.048857494007173,0,0,0.15588887318642,0,0.540866909188563
x534y5550,0.245857128187293,0,0.45208013874338,0,0,0,0,0,0,0,0,0,0.302062733069328
x1034y5550,0.28645613147214,0.304445093538642,0,0,0,0,0,0,0.00627345982966265,0,0,0.402825315159556,0
x1534y5550,0.0905198300313399,0.165000415880742,0,0.226110629910879,0,0,0,0.107538232708031,0,0,0,0.114354765555368,0.29647612591364
x2034y5550,0.0962497037867174,0,0.0792115233965731,0.165495317472132,0,0,0,0.0851421064739424,0.0739168207983483,0.10006039838686,0,0,0.399924129685426
x2534y5550,0,0.144379645409601,0,0.0456972623191798,0,0,0.0941319284998566,0.0101111963509154,0,0,0,0.271592077067223,0.434087890353225
x3034y5550,0.0606711891080842,0,0,0,0,0.0290162846194637,0,0.152162810709631,0.169406611092568,0,0,0.23257852500924,0.356164579461013
x3534y5550,0,0,0.083395199627785,0,0,0,0,0.073743615924287,0.0411735518498051,0,0,0.184440950714632,0.617246681883491
x4534y5550,0,0,0,0.0312565321057182,0.31301396618581,0.140995157919465,0,0.119822234930086,0,0,0,0.394912108858921,0
x5034y5550,0,0.0677096134250402,0,0.043533824668944,0.0223061258848674,0,0.148929662720806,0.0421832898729025,0.00220010962357503,0.256299591170928,0,0,0.416837782632937
x5534y5550,0,0.0297192495010167,0.0791829959042325,0.135922604340827,0,0.0751118143626736,0,0.133349377234577,0,0,0,0,0.546713958656673
x6034y5550,0.451116593821227,0,0,0.103068744660021,0,0,0,0,0,0,0,0,0.445814661518751
x6534y5550,0,0.0783078723498457,0.0652795873361995,0,0.00459688327202947,0.272444059408556,0,0.0968225176281744,0.0399161682859867,0,0,0.209695521585958,0.232937390133251
x7034y5550,0.0384782951089799,0,0,0,0,0,0.338661347299037,0,0.0201193071732151,0.0441586261631007,0,0.239502343562586,0.319080080693081
x7534y5550,0.0924300239370121,0,0,0.119218791305529,0.0337316013817435,0.217827484565323,0.0887132635525629,0,0.0487218353048802,0,0,0,0.399356999952949
x8034y5550,0.257020659798057,0,0,0.238989793698915,0,0,0,1.68299922401495e-10,0.117089373179911,0.108939764891267,0.125890281120232,0,0.152070127143318
