,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,eL2/3,eL4,eL5,eL6
x2034y1550,0.0580791718723922,0.84113871557292,0,0,0.0944015972600831,0.0063805152946046,0,0,0,0,0
x4534y1550,0.323365088767364,0,0,0.286735810729974,0,0.102491223909321,0.287407876593341,0,0,0,0
x5034y1550,0.678809149532448,0,0.122541446280613,0,0.08531515141626,0.02537816671485,0.0879560860558287,0,0,0,0
x5534y1550,0.229222844248471,0,0,0.395943775001574,0,0.282019287776713,0.0928140929732421,0,0,0,0
x6034y1550,0.0122140453512085,0,0,0.726734786033622,0.190523537480697,0.053250609912755,0.0172770212217177,0,0,0,0
x6534y1550,0.38495189272549,0,0.0229583702551477,0.399280924674181,0.0119337899910109,0,0.180875022354171,0,0,0,0
x7034y1550,0,0,0.0506780159072999,0.590855046313108,0,0.358466937779592,0,0,0,0,0
x7534y1550,0.63271717533987,0,0,0.299254149844616,0,0.0680286748155136,0,0,0,0,0
x8034y1550,0.751558762309332,0.0538739588585643,0.0300995698602981,0.00820011884786574,0.0805983915570511,0,0.0756691985668889,0,0,0,0
x8534y1550,0,0,0.053901813271505,0.857366752322955,0.0253220393291764,0,0.0109222555527612,0.0091798131223784,0,0,0.0433073264012236
x9034y1550,0.127700658163971,0.02018940661106,0,0.586894471425679,0.102960763581468,0,0.130083362839993,0,0,0,0.0321713373778285
x9534y1550,0.266646736943005,0.00955688111431924,0.110266653894135,0.452957008054897,0.0540272755157848,0.106545444477859,0,0,0,0,0
x10034y1550,0,0.0650892895602292,0.065816331851174,0.581396111638354,0.145282639875252,0.0305569569561068,0.0366715186303132,0,0,0,0.07518715148857
x10534y1550,0,0,0,0.913680865815713,0.0731126018301214,0,0,0,0.0132065323541662,0,0
x34y2050,0.0105808361701252,0,0.0274329228616461,0.743977448603225,0.0456617785670103,0,0.172347013797994,0,0,0,0
x534y2050,0,0.168904080229105,0.128621715020844,0.702474204750052,0,0,0,0,0,0,0
x1034y2050,0.387733774595357,0,0,0.285958477036644,0,0.271156797906365,0.0551509504616336,0,0,0,0
x1534y2050,0,0,0.0261043421293926,0.312190480763578,0,0.615038351917358,0.0466668251896717,0,0,0,0
x5034y2050,0.470526578527287,0,0.0158819688225468,0.346643716465585,0.0416431283036144,0.0470638599539711,0.0486777920242833,0.0134061023418209,0,0,0.0161568535608916
x5534y2050,0.0241594637681679,0,0,0.899356185802601,0.0062828209972555,0,0.0702015294319756,0,0,0,0
x6034y2050,0.247706842019826,0.0106973973428151,0.123980765111522,0.529889236893195,0,0.0877257586326421,0,0,0,0,0
