"","celltype"
"x2_52_3_1_bc2512","Astro"
"x2_35_3_bc1255","Astro"
"x2_41_1_1_bc2775","Astro"
"x2_94_1_2_bc0835","Astro"
"x2_52_3_2_bc2404","Astro"
"x2_94_1_1_2_bc0597","Astro"
"x2_35_1_bc2400","Astro"
"x2_35_3_bc0810","Astro"
"x2_35_3_bc1671","Astro"
"x2_75_0_1_bc2126","Astro"
"x2_41_1_1_bc1652","Astro"
"x2_94_1_1_2_bc0422","Astro"
"x2_41_1_1_bc3460","Astro"
"x2_75_0_2_bc0709","Astro"
"x2_75_0_4_bc0799","Astro"
"x2_35_1_bc2625","Astro"
"x2_35_0_bc1765","Astro"
"x2_98_4_2_1_bc1729","Astro"
"x2_35_3_bc1141","Astro"
"x2_35_3_bc1775","Astro"
"x2_94_1_1_2_bc0532","Astro"
"x2_98_1_1_bc1295","Astro"
"x2_75_0_2_bc1580","Astro"
"x2_98_1_1_bc0713","Astro"
"x2_75_0_2_bc0652","Astro"
"x2_94_4_2_2_bc0408","Astro"
"x2_75_0_1_bc2421","Astro"
"x2_58_0_2_bc0462","Astro"
"x2_52_3_1_bc1525","Astro"
"x2_98_4_2_2_bc0926","Astro"
"x2_52_1_2_bc2340","Astro"
"x2_52_3_2_bc2655","Astro"
"x2_98_4_1_2_bc1074","Astro"
"x2_98_4_2_2_bc1594","Astro"
"x2_98_1_1_bc0761","Astro"
"x2_52_3_2_bc2648","Astro"
"x2_98_4_2_2_bc0548","Astro"
"x2_98_4_2_1_bc0881","Astro"
"x2_98_4_1_2_bc0453","Astro"
"x2_75_0_2_bc2062","Astro"
"x2_35_0_bc1634","Astro"
"x2_58_0_2_bc0637","Astro"
"x2_52_3_2_bc2564","Astro"
"x2_35_1_bc3050","Astro"
"x2_41_1_1_bc1915","Astro"
"x2_52_0_1_bc2120","Astro"
"x2_52_0_1_bc1238","Astro"
"x2_52_0_2_bc1550","Astro"
"x2_41_1_1_bc3734","Astro"
"x2_35_3_bc0950","Astro"
"x2_94_1_1_2_bc0501","Astro"
"x2_35_1_bc1523","Astro"
"x2_94_1_2_bc0365","Astro"
"x2_98_4_2_1_bc0406","Astro"
"x2_52_3_2_bc1616","Astro"
"x2_35_1_bc1946","Astro"
"x2_41_1_1_bc0989","Astro"
"x2_98_4_1_2_bc1222","Astro"
"x2_52_1_1_bc2391","Astro"
