"","x","y"
"23.176x22.999",23,23
"24.112x22.904",24,23
"24.115x23.954",24,24
"23.182x23.977",23,24
"20.923x23.871",21,24
"21.938x23.891",22,24
"21.949x22.839",22,23
"21.011x22.796",21,23
"21.016x24.87",21,25
"21.956x24.877",22,25
"23.227x24.938",23,25
"24.213x24.842",24,25
"17.994x15.992",18,16
"16.927x15.977",17,16
"18.904x15.986",19,16
"20.085x15.949",20,16
"21.901x15.95",22,16
"20.933x15.956",21,16
"23.132x16.038",23,16
"24.059x16.02",24,16
"26.042x15.983",26,16
"25.075x16.007",25,16
"26.992x15.973",27,16
"9.885x15.988",10,16
"12.064x16.067",12,16
"10.877x15.971",11,16
"13.093x16.033",13,16
"14.008x16.038",14,16
"15.956x16.001",16,16
"15.001x16.014",15,16
"17.002x15.002",17,15
"17.969x15.026",18,15
"12.045x15.052",12,15
"10.877x14.964",11,15
"15.026x15.004",15,15
"15.908x15.036",16,15
"13.083x15.039",13,15
"13.973x15.034",14,15
"23.151x15.033",23,15
"24.092x15.02",24,15
"21.908x14.979",22,15
"25.077x15.02",25,15
"17.983x13.979",18,14
"16.906x13.965",17,14
"15.042x14.003",15,14
"15.96x13.988",16,14
"14.015x14.092",14,14
"9.938x25.924",10,26
"10.906x25.928",11,26
"12.211x26.031",12,26
"13.941x25.99",14,26
"13.052x25.997",13,26
"15.065x25.942",15,26
"15.954x25.936",16,26
"25.117x25.95",25,26
"26.096x25.912",26,26
"26.984x25.925",27,26
"27.963x25.91",28,26
"28.951x25.907",29,26
"16.996x25.92",17,26
"17.98x25.935",18,26
"19.04x25.9",19,26
"20.045x25.924",20,26
"20.999x25.892",21,26
"21.945x25.895",22,26
"24.036x25.953",24,26
"23.245x26.014",23,26
"23.217x27.926",23,28
"24.171x27.919",24,28
"24.133x26.965",24,27
"23.159x27.0",23,27
"21.971x27.883",22,28
"21.992x26.873",22,27
"27.017x26.917",27,27
"27.013x27.885",27,28
"25.105x26.949",25,27
"26.095x27.828",26,28
"25.068x27.858",25,28
"26.04x26.933",26,27
"15.942x26.943",16,27
"16.002x27.941",16,28
"15.102x26.951",15,27
"15.035x27.891",15,28
"13.133x26.968",13,27
"14.07x27.899",14,28
"13.979x26.983",14,27
"13.087x27.961",13,28
"10.892x26.911",11,27
"12.139x28.005",12,28
"12.068x26.999",12,27
"16.981x26.937",17,27
"18.038x27.974",18,28
"18.004x26.964",18,27
"16.996x27.901",17,28
"14.058x28.995",14,29
"15.956x28.912",16,29
"15.037x28.942",15,29
"16.969x28.883",17,29
"9.92x26.907",10,27
"7.962x22.994",8,23
"20.973x26.907",21,27
"18.97x26.953",19,27
"27.93x26.89",28,27
"24.114x28.955",24,29
"25.134x28.934",25,29
"29.961x18.97",30,19
